Executors,Label,Performance 95ph,Performance,Avrg 95ph,Avrg,Std 95ph,Std
1,executors,12.119769243812948,11.886338485925235,0.08250982175345398,0.08413019713212044,0.008441452052820247,0.012635450146549548
2,executors,25.10855667659488,24.40453942767166,0.07965412053590139,0.08195196659733939,0.009953163365916416,0.015193689593762934
4,executors,51.69394688566224,48.83542137218587,0.07737849866343702,0.08190776054771984,0.011154698281816722,0.02502357886036158
8,executors,93.57600402171546,87.43234817418187,0.08549200282311159,0.09149931537996073,0.02405215435836206,0.03604955123962975
16,executors,116.55857178915466,108.17245460532513,0.13727004161429457,0.14791196204594909,0.05997522050680289,0.07583073097918652
32,executors,131.68658163508675,120.20022627144164,0.24300122003830554,0.26622246057787063,0.13762642081171883,0.16945315579382966
64,executors,145.1638166401926,136.68879195342467,0.4408812160032436,0.4682168821991445,0.20639351015604093,0.2364887076852793
96,executors,159.59400010518942,151.7396534434021,0.601526372775454,0.6326625758098715,0.24170046730267633,0.2797152225956949
128,executors,154.47048983100382,148.77606163987178,0.8286372377017548,0.860353464052823,0.26614263852588527,0.30138551323054585
